-0.214824	0.662756	0
-0.061569	-0.091875	1
0.406933	0.648055	0
0.223650	0.130142	1
0.231317	0.766906	0
-0.748800	-0.531637	0
-0.557789	0.375797	0
0.207123	-0.019463	1
0.286462	0.719470	0
0.195300	-0.179039	1
-0.152696	-0.153030	1
0.384471	0.653336	0
-0.117280	-0.153217	1
-0.238076	0.000583	1
-0.413576	0.145681	1
0.490767	-0.680029	0
0.199894	-0.199381	1
-0.356048	0.537960	0
-0.392868	-0.125261	1
0.353588	-0.070617	1
0.020984	0.925720	0
-0.475167	-0.346247	0
0.074952	0.042783	1
0.394164	-0.058217	1
0.663418	0.436525	0
0.402158	0.577744	0
-0.449349	-0.038074	1
0.619080	-0.088188	0
0.268066	-0.071621	1
-0.015165	0.359326	1
0.539368	-0.374972	0
-0.319153	0.629673	0
0.694424	0.641180	0
0.079522	0.193198	1
0.253289	-0.285861	1
-0.035558	-0.010086	1
-0.403483	0.474466	0
-0.034312	0.995685	0
-0.590657	0.438051	0
-0.098871	-0.023953	1
-0.250001	0.141621	1
-0.012998	0.525985	0
0.153738	0.491531	0
0.388215	-0.656567	0
0.049008	0.013499	1
0.068286	0.392741	1
0.747800	-0.066630	0
0.004621	-0.042932	1
-0.701600	0.190983	0
0.055413	-0.024380	1
0.035398	-0.333682	1
0.211795	0.024689	1
-0.045677	0.172907	1
0.595222	0.209570	0
0.229465	0.250409	1
-0.089293	0.068198	1
0.384300	-0.176570	1
0.834912	-0.110321	0
-0.307768	0.503038	0
-0.777063	-0.348066	0
0.017390	0.152441	1
-0.293382	-0.139778	1
-0.203272	0.286855	1
0.957812	-0.152444	0
0.004609	-0.070617	1
-0.755431	0.096711	0
-0.526487	0.547282	0
-0.246873	0.833713	0
0.185639	-0.066162	1
0.851934	0.456603	0
-0.827912	0.117122	0
0.233512	-0.106274	1
0.583671	-0.709033	0
-0.487023	0.625140	0
-0.448939	0.176725	1
0.155907	-0.166371	1
0.334204	0.381237	0
0.081536	-0.106212	1
0.227222	0.527437	0
0.759290	0.330720	0
0.204177	-0.023516	1
0.577939	0.403784	0
-0.568534	0.442948	0
-0.011520	0.021165	1
0.875720	0.422476	0
0.297885	-0.632874	0
-0.015821	0.031226	1
0.541359	-0.205969	0
-0.689946	-0.508674	0
-0.343049	0.841653	0
0.523902	-0.436156	0
0.249281	-0.711840	0
0.193449	0.574598	0
-0.257542	-0.753885	0
-0.021605	0.158080	1
0.601559	-0.727041	0
-0.791603	0.095651	0
-0.908298	-0.053376	0
0.122020	0.850966	0
-0.725568	-0.292022	0
